‏Page,Sura,Verse,Text
601,105,4,ﮠbﮡﮢﮣﮤ
601,105,5,ﮥﮦﮧﮨ
602,106,1,ﭑﭒﭓ
602,106,2,ﭔﭕﭖﭗbﭘ
602,106,3,ﭙﭚﭛﭜﭝ
602,106,4,ﭞﭟbﭠﭡﭢﭣﭤﭥb
602,107,1,ﭦﭧﭨﭩﭪ
602,107,2,ﭫﭬbﭭﭮﭯ
602,107,3,ﭰﭱﭲﭳﭴﭵb
602,107,4,ﭶﭷﭸ
602,107,5,ﭹﭺﭻﭼﭽbﭾ
602,107,6,ﭿﮀﮁﮂ
602,107,7,ﮃﮄﮅb
602,108,1,ﮆﮇﮈﮉ
602,108,2,ﮊﮋﮌﮍb
602,108,3,ﮎﮏﮐﮑﮒ
603,109,1,ﭑﭒﭓﭔ
603,109,2,ﭕﭖﭗﭘﭙb
603,109,3,ﭚﭛﭜﭝﭞﭟ
603,109,4,ﭠﭡﭢﭣﭤﭥb
603,109,5,ﭦﭧﭨﭩﭪﭫ
603,109,6,ﭬﭭﭮﭯﭰb
603,110,1,ﭱﭲﭳﭴﭵﭶ
603,110,2,ﭷﭸbﭹﭺﭻﭼﭽﭾ
603,110,3,ﭿﮀﮁbﮂﮃﮄﮅﮆﮇb
603,111,1,ﮈﮉﮊﮋﮌﮍ
603,111,2,ﮎﮏﮐﮑﮒbﮓﮔ
603,111,3,ﮕﮖﮗﮘﮙ
603,111,4,ﮚbﮛﮜﮝ
603,111,5,ﮞﮟﮠﮡﮢﮣ
604,112,1,ﭑﭒﭓﭔﭕ
604,112,2,ﭖﭗﭘ
604,112,3,ﭙﭚbﭛﭜﭝ
604,112,4,ﭞﭟﭠﭡﭢﭣb
604,113,1,ﭤﭥﭦﭧﭨ
604,113,2,ﭩﭪﭫﭬﭭ
604,113,3,ﭮbﭯﭰﭱﭲﭳ
604,113,4,ﭴﭵﭶﭷbﭸﭹ
604,113,5,ﭺﭻﭼﭽﭾﭿb
604,114,1,ﮀﮁﮂﮃﮄ
604,114,2,ﮅﮆﮇ
604,114,3,ﮈbﮉﮊ
604,114,4,ﮋﮌﮍﮎﮏ
604,114,5,ﮐbﮑﮒﮓﮔﮕb
